sample_name	bioproject_accession	organism	isolate	breed	age	sex	replicate	tissue
CN51_C2_1	PRJNA481056	Mus musculus	765	B6SJLSOD1-WT	p70	female	CN51_C2_1	spinal cord
CN51_C2_2	PRJNA481056	Mus musculus	794	B6SJLSOD1-G93A	p70	female	CN51_C2_2	spinal cord
L6CN51_E1_1	PRJNA481056	Mus musculus	765	B6SJLSOD1-WT	p70	female	L6CN51_E1_1	spinal cord
L6CN51_E1_2	PRJNA481056	Mus musculus	794	B6SJLSOD1-G93A	p70	female	L6CN51_E1_2	spinal cord
L6CN51_E2_1	PRJNA481056	Mus musculus	765	B6SJLSOD1-WT	p70	female	L6CN51_E2_1	spinal cord
L6CN51_E2_2	PRJNA481056	Mus musculus	794	B6SJLSOD1-G93A	p70	female	L6CN51_E2_2	spinal cord
CN52_C2_1	PRJNA481056	Mus musculus	765	B6SJLSOD1-WT	p70	female	CN52_C2_1	spinal cord
CN52_C2_2	PRJNA481056	Mus musculus	794	B6SJLSOD1-G93A	p70	female	CN52_C2_2	spinal cord
L6CN52_D1_1	PRJNA481056	Mus musculus	765	B6SJLSOD1-WT	p70	female	L6CN52_D1_1	spinal cord
L6CN52_D1_2	PRJNA481056	Mus musculus	794	B6SJLSOD1-G93A	p70	female	L6CN52_D1_2	spinal cord
L6CN52_D2_1	PRJNA481056	Mus musculus	765	B6SJLSOD1-WT	p70	female	L6CN52_D2_1	spinal cord
L6CN52_D2_2	PRJNA481056	Mus musculus	794	B6SJLSOD1-G93A	p70	female	L6CN52_D2_2	spinal cord
CN53_D1_1	PRJNA481056	Mus musculus	765	B6SJLSOD1-WT	p70	female	CN53_D1_1	spinal cord
CN53_D1_2	PRJNA481056	Mus musculus	794	B6SJLSOD1-G93A	p70	female	CN53_D1_2	spinal cord
CN53_D2_1	PRJNA481056	Mus musculus	765	B6SJLSOD1-WT	p70	female	CN53_D2_1	spinal cord
CN53_D2_2	PRJNA481056	Mus musculus	794	B6SJLSOD1-G93A	p70	female	CN53_D2_2	spinal cord
CN53_E1_1	PRJNA481056	Mus musculus	765	B6SJLSOD1-WT	p70	female	CN53_E1_1	spinal cord
CN53_E1_2	PRJNA481056	Mus musculus	794	B6SJLSOD1-G93A	p70	female	CN53_E1_2	spinal cord
CN56_C2_1	PRJNA481056	Mus musculus	766	B6SJLSOD1-WT	p70	female	CN56_C2_1	spinal cord
CN56_C2_2	PRJNA481056	Mus musculus	792	B6SJLSOD1-G93A	p70	female	CN56_C2_2	spinal cord
CN56_D1_1	PRJNA481056	Mus musculus	766	B6SJLSOD1-WT	p70	female	CN56_D1_1	spinal cord
CN56_D1_2	PRJNA481056	Mus musculus	792	B6SJLSOD1-G93A	p70	female	CN56_D1_2	spinal cord
CN56_D2_1	PRJNA481056	Mus musculus	766	B6SJLSOD1-WT	p70	female	CN56_D2_1	spinal cord
CN56_D2_2	PRJNA481056	Mus musculus	792	B6SJLSOD1-G93A	p70	female	CN56_D2_2	spinal cord
CN56_E1_1	PRJNA481056	Mus musculus	766	B6SJLSOD1-WT	p70	female	CN56_E1_1	spinal cord
CN56_E1_2	PRJNA481056	Mus musculus	792	B6SJLSOD1-G93A	p70	female	CN56_E1_2	spinal cord
L6CN59_D1_1	PRJNA481056	Mus musculus	766	B6SJLSOD1-WT	p70	female	L6CN59_D1_1	spinal cord
L6CN59_D1_2	PRJNA481056	Mus musculus	792	B6SJLSOD1-G93A	p70	female	L6CN59_D1_2	spinal cord
CN60_C2	PRJNA481056	Mus musculus	771	B6SJLSOD1-WT	p100	male	CN60_C2	spinal cord
CN60_D1	PRJNA481056	Mus musculus	771	B6SJLSOD1-WT	p100	male	CN60_D1	spinal cord
CN60_D2	PRJNA481056	Mus musculus	771	B6SJLSOD1-WT	p100	male	CN60_D2	spinal cord
CN60_E2	PRJNA481056	Mus musculus	771	B6SJLSOD1-WT	p100	male	CN60_E2	spinal cord
CN61_C1	PRJNA481056	Mus musculus	771	B6SJLSOD1-WT	p100	male	CN61_C1	spinal cord
CN61_D2	PRJNA481056	Mus musculus	771	B6SJLSOD1-WT	p100	male	CN61_D2	spinal cord
CN61_E2	PRJNA481056	Mus musculus	771	B6SJLSOD1-WT	p100	male	CN61_E2	spinal cord
CN62_E2	PRJNA481056	Mus musculus	652	B6SJLSOD1-G93A	p100	male	CN62_E2	spinal cord
CN63_C1	PRJNA481056	Mus musculus	652	B6SJLSOD1-G93A	p100	male	CN63_C1	spinal cord
CN63_E2	PRJNA481056	Mus musculus	652	B6SJLSOD1-G93A	p100	male	CN63_E2	spinal cord
CN64_C1	PRJNA481056	Mus musculus	664	B6SJLSOD1-G93A	p120	male	CN64_C1	spinal cord
CN64_C2	PRJNA481056	Mus musculus	664	B6SJLSOD1-G93A	p120	male	CN64_C2	spinal cord
CN64_D1	PRJNA481056	Mus musculus	664	B6SJLSOD1-G93A	p120	male	CN64_D1	spinal cord
CN65_C1	PRJNA481056	Mus musculus	636	B6SJLSOD1-WT	p120	female	CN65_C1	spinal cord
CN65_C2	PRJNA481056	Mus musculus	636	B6SJLSOD1-WT	p120	female	CN65_C2	spinal cord
CN66_C1	PRJNA481056	Mus musculus	672	B6SJLSOD1-G93A	p120	female	CN66_C1	spinal cord
CN66_D1	PRJNA481056	Mus musculus	672	B6SJLSOD1-G93A	p120	female	CN66_D1	spinal cord
CN67_C1	PRJNA481056	Mus musculus	635	B6SJLSOD1-WT	p120	female	CN67_C1	spinal cord
CN67_D2	PRJNA481056	Mus musculus	635	B6SJLSOD1-WT	p120	female	CN67_D2	spinal cord
CN67_E2	PRJNA481056	Mus musculus	635	B6SJLSOD1-WT	p120	female	CN67_E2	spinal cord
CN68_E1	PRJNA481056	Mus musculus	2465	B6SJLSOD1-WT	p30	female	CN68_E1	spinal cord
CN69_C1	PRJNA481056	Mus musculus	2476	B6SJLSOD1-G93A	p30	male	CN69_C1	spinal cord
CN69_C2	PRJNA481056	Mus musculus	2476	B6SJLSOD1-G93A	p30	male	CN69_C2	spinal cord
CN69_D1	PRJNA481056	Mus musculus	2476	B6SJLSOD1-G93A	p30	male	CN69_D1	spinal cord
CN69_D2	PRJNA481056	Mus musculus	2476	B6SJLSOD1-G93A	p30	male	CN69_D2	spinal cord
CN69_E1	PRJNA481056	Mus musculus	2476	B6SJLSOD1-G93A	p30	male	CN69_E1	spinal cord
CN70_C1	PRJNA481056	Mus musculus	769	B6SJLSOD1-WT	p100	male	CN70_C1	spinal cord
CN70_E1	PRJNA481056	Mus musculus	769	B6SJLSOD1-WT	p100	male	CN70_E1	spinal cord
CN70_E2	PRJNA481056	Mus musculus	769	B6SJLSOD1-WT	p100	male	CN70_E2	spinal cord
CN71_C2	PRJNA481056	Mus musculus	651	B6SJLSOD1-G93A	p100	male	CN71_C2	spinal cord
CN71_D1	PRJNA481056	Mus musculus	651	B6SJLSOD1-G93A	p100	male	CN71_D1	spinal cord
CN77_D1	PRJNA481056	Mus musculus	2524	B6SJLSOD1-WT	p100	male	CN77_D1	spinal cord
CN77_E1	PRJNA481056	Mus musculus	2524	B6SJLSOD1-WT	p100	male	CN77_E1	spinal cord
CN77_E2	PRJNA481056	Mus musculus	2524	B6SJLSOD1-WT	p100	male	CN77_E2	spinal cord
CN78_C1	PRJNA481056	Mus musculus	1055	B6SJLSOD1-G93A	p30	female	CN78_C1	spinal cord
CN78_C2	PRJNA481056	Mus musculus	1055	B6SJLSOD1-G93A	p30	female	CN78_C2	spinal cord
CN79_C2	PRJNA481056	Mus musculus	1056	B6SJLSOD1-G93A	p30	female	CN79_C2	spinal cord
CN79_D1	PRJNA481056	Mus musculus	1056	B6SJLSOD1-G93A	p30	female	CN79_D1	spinal cord
CN79_D2	PRJNA481056	Mus musculus	1056	B6SJLSOD1-G93A	p30	female	CN79_D2	spinal cord
CN80_C2	PRJNA481056	Mus musculus	1057	B6SJLSOD1-G93A	p30	female	CN80_C2	spinal cord
CN80_D1	PRJNA481056	Mus musculus	1057	B6SJLSOD1-G93A	p30	female	CN80_D1	spinal cord
CN80_D2	PRJNA481056	Mus musculus	1057	B6SJLSOD1-G93A	p30	female	CN80_D2	spinal cord
CN80_E1	PRJNA481056	Mus musculus	1057	B6SJLSOD1-G93A	p30	female	CN80_E1	spinal cord
CN81_C2	PRJNA481056	Mus musculus	1058	B6SJLSOD1-G93A	p30	female	CN81_C2	spinal cord
CN81_E1	PRJNA481056	Mus musculus	1058	B6SJLSOD1-G93A	p30	female	CN81_E1	spinal cord
CN89_C1	PRJNA481056	Mus musculus	973	B6SJLSOD1-G93A	p120	male	CN89_C1	spinal cord
CN90_C1	PRJNA481056	Mus musculus	974	B6SJLSOD1-G93A	p120	male	CN90_C1	spinal cord
CN92_C1	PRJNA481056	Mus musculus	1087	B6SJLSOD1-WT	p30	female	CN92_C1	spinal cord
CN92_C2	PRJNA481056	Mus musculus	1087	B6SJLSOD1-WT	p30	female	CN92_C2	spinal cord
CN92_D1	PRJNA481056	Mus musculus	1087	B6SJLSOD1-WT	p30	female	CN92_D1	spinal cord
CN92_E2	PRJNA481056	Mus musculus	1087	B6SJLSOD1-WT	p30	female	CN92_E2	spinal cord
CN93_C1	PRJNA481056	Mus musculus	975	B6SJLSOD1-G93A	p120	male	CN93_C1	spinal cord
CN93_D1	PRJNA481056	Mus musculus	975	B6SJLSOD1-G93A	p120	male	CN93_D1	spinal cord
CN93_D2	PRJNA481056	Mus musculus	975	B6SJLSOD1-G93A	p120	male	CN93_D2	spinal cord
CN93_E1	PRJNA481056	Mus musculus	975	B6SJLSOD1-G93A	p120	male	CN93_E1	spinal cord
CN93_E2	PRJNA481056	Mus musculus	975	B6SJLSOD1-G93A	p120	male	CN93_E2	spinal cord
CN94_C2	PRJNA481056	Mus musculus	976	B6SJLSOD1-G93A	p120	male	CN94_C2	spinal cord
CN94_D1	PRJNA481056	Mus musculus	976	B6SJLSOD1-G93A	p120	male	CN94_D1	spinal cord
CN94_D2	PRJNA481056	Mus musculus	976	B6SJLSOD1-G93A	p120	male	CN94_D2	spinal cord
CN94_E1	PRJNA481056	Mus musculus	976	B6SJLSOD1-G93A	p120	male	CN94_E1	spinal cord
CN95_C1	PRJNA481056	Mus musculus	1037	B6SJLSOD1-WT	p120	male	CN95_C1	spinal cord
CN96_E1	PRJNA481056	Mus musculus	1040	B6SJLSOD1-WT	p120	female	CN96_E1	spinal cord
CN96_E2	PRJNA481056	Mus musculus	1040	B6SJLSOD1-WT	p120	female	CN96_E2	spinal cord
L7CN94_C1	PRJNA481056	Mus musculus	1241	B6SJLSOD1-WT	p70	female	L7CN94_C1	spinal cord
L7CN94_C2	PRJNA481056	Mus musculus	1241	B6SJLSOD1-WT	p70	female	L7CN94_C2	spinal cord
L7CN94_D1	PRJNA481056	Mus musculus	1241	B6SJLSOD1-WT	p70	female	L7CN94_D1	spinal cord
L7CN94_D2	PRJNA481056	Mus musculus	1241	B6SJLSOD1-WT	p70	female	L7CN94_D2	spinal cord
L7CN94_E1	PRJNA481056	Mus musculus	1241	B6SJLSOD1-WT	p70	female	L7CN94_E1	spinal cord
L7CN94_E2	PRJNA481056	Mus musculus	1241	B6SJLSOD1-WT	p70	female	L7CN94_E2	spinal cord
L7CN95_C1	PRJNA481056	Mus musculus	1277	B6SJLSOD1-G93A	p30	female	L7CN95_C1	spinal cord
L7CN95_C2	PRJNA481056	Mus musculus	1277	B6SJLSOD1-G93A	p30	female	L7CN95_C2	spinal cord
L7CN95_D1	PRJNA481056	Mus musculus	1277	B6SJLSOD1-G93A	p30	female	L7CN95_D1	spinal cord
L7CN95_D2	PRJNA481056	Mus musculus	1277	B6SJLSOD1-G93A	p30	female	L7CN95_D2	spinal cord
L7CN95_E1	PRJNA481056	Mus musculus	1277	B6SJLSOD1-G93A	p30	female	L7CN95_E1	spinal cord
L7CN96_C1	PRJNA481056	Mus musculus	1298	B6SJLSOD1-WT	p30	male	L7CN96_C1	spinal cord
L7CN96_D1	PRJNA481056	Mus musculus	1298	B6SJLSOD1-WT	p30	male	L7CN96_D1	spinal cord
L7CN96_D2	PRJNA481056	Mus musculus	1298	B6SJLSOD1-WT	p30	male	L7CN96_D2	spinal cord
L7CN96_E1	PRJNA481056	Mus musculus	1298	B6SJLSOD1-WT	p30	male	L7CN96_E1	spinal cord
L7CN96_E2	PRJNA481056	Mus musculus	1298	B6SJLSOD1-WT	p30	male	L7CN96_E2	spinal cord
L7CN97_C1	PRJNA481056	Mus musculus	1294	B6SJLSOD1-WT	p30	male	L7CN97_C1	spinal cord
L7CN97_C2	PRJNA481056	Mus musculus	1294	B6SJLSOD1-WT	p30	male	L7CN97_C2	spinal cord
L7CN97_D1	PRJNA481056	Mus musculus	1294	B6SJLSOD1-WT	p30	male	L7CN97_D1	spinal cord
L7CN97_D2	PRJNA481056	Mus musculus	1294	B6SJLSOD1-WT	p30	male	L7CN97_D2	spinal cord
L7CN97_E1	PRJNA481056	Mus musculus	1294	B6SJLSOD1-WT	p30	male	L7CN97_E1	spinal cord
L7CN97_E2	PRJNA481056	Mus musculus	1294	B6SJLSOD1-WT	p30	male	L7CN97_E2	spinal cord
L7CN93_E2	PRJNA481056	Mus musculus	1248	B6SJLSOD1-G93A	p70	male	L7CN93_E2	spinal cord
L7CN92_C1	PRJNA481056	Mus musculus	1244	B6SJLSOD1-WT	p100	female	L7CN92_C1	spinal cord
L7CN92_C2	PRJNA481056	Mus musculus	1244	B6SJLSOD1-WT	p100	female	L7CN92_C2	spinal cord
L7CN92_D1	PRJNA481056	Mus musculus	1244	B6SJLSOD1-WT	p100	female	L7CN92_D1	spinal cord
L7CN92_D2	PRJNA481056	Mus musculus	1244	B6SJLSOD1-WT	p100	female	L7CN92_D2	spinal cord
L7CN92_E2	PRJNA481056	Mus musculus	1244	B6SJLSOD1-WT	p100	female	L7CN92_E2	spinal cord
L7CN91_C1	PRJNA481056	Mus musculus	1250	B6SJLSOD1-G93A	p70	male	L7CN91_C1	spinal cord
L7CN91_C2	PRJNA481056	Mus musculus	1250	B6SJLSOD1-G93A	p70	male	L7CN91_C2	spinal cord
L7CN91_D1	PRJNA481056	Mus musculus	1250	B6SJLSOD1-G93A	p70	male	L7CN91_D1	spinal cord
L7CN91_D2	PRJNA481056	Mus musculus	1250	B6SJLSOD1-G93A	p70	male	L7CN91_D2	spinal cord
L7CN91_E1	PRJNA481056	Mus musculus	1250	B6SJLSOD1-G93A	p70	male	L7CN91_E1	spinal cord
L7CN91_E2	PRJNA481056	Mus musculus	1250	B6SJLSOD1-G93A	p70	male	L7CN91_E2	spinal cord
L7CN90_C2	PRJNA481056	Mus musculus	1245	B6SJLSOD1-WT	p100	female	L7CN90_C2	spinal cord
L7CN90_E1	PRJNA481056	Mus musculus	1245	B6SJLSOD1-WT	p100	female	L7CN90_E1	spinal cord
L7CN90A_C1	PRJNA481056	Mus musculus	1238	B6SJLSOD1-G93A	p70	male	L7CN90A_C1	spinal cord
L7CN90A_C2	PRJNA481056	Mus musculus	1238	B6SJLSOD1-G93A	p70	male	L7CN90A_C2	spinal cord
L7CN90A_D1	PRJNA481056	Mus musculus	1238	B6SJLSOD1-G93A	p70	male	L7CN90A_D1	spinal cord
L7CN90A_E1	PRJNA481056	Mus musculus	1238	B6SJLSOD1-G93A	p70	male	L7CN90A_E1	spinal cord
L7CN89_D1	PRJNA481056	Mus musculus	1265	B6SJLSOD1-G93A	p70	female	L7CN89_D1	spinal cord
L7CN89_D2	PRJNA481056	Mus musculus	1265	B6SJLSOD1-G93A	p70	female	L7CN89_D2	spinal cord
L7CN89_E1	PRJNA481056	Mus musculus	1265	B6SJLSOD1-G93A	p70	female	L7CN89_E1	spinal cord
L7CN87_E1	PRJNA481056	Mus musculus	1080	B6SJLSOD1-WT	p100	male	L7CN87_E1	spinal cord
L7CN87_E2	PRJNA481056	Mus musculus	1080	B6SJLSOD1-WT	p100	male	L7CN87_E2	spinal cord
L7CN86_C1	PRJNA481056	Mus musculus	1266	B6SJLSOD1-G93A	p120	female	L7CN86_C1	spinal cord
L7CN86_C2	PRJNA481056	Mus musculus	1266	B6SJLSOD1-G93A	p120	female	L7CN86_C2	spinal cord
L7CN86_D2	PRJNA481056	Mus musculus	1266	B6SJLSOD1-G93A	p120	female	L7CN86_D2	spinal cord
L7CN86_E2	PRJNA481056	Mus musculus	1266	B6SJLSOD1-G93A	p120	female	L7CN86_E2	spinal cord
L7CN85_C1	PRJNA481056	Mus musculus	1266	B6SJLSOD1-G93A	p120	female	L7CN85_C1	spinal cord
L7CN85_C2	PRJNA481056	Mus musculus	1266	B6SJLSOD1-G93A	p120	female	L7CN85_C2	spinal cord
L7CN85_D1	PRJNA481056	Mus musculus	1266	B6SJLSOD1-G93A	p120	female	L7CN85_D1	spinal cord
L7CN85_D2	PRJNA481056	Mus musculus	1266	B6SJLSOD1-G93A	p120	female	L7CN85_D2	spinal cord
L7CN85_E1	PRJNA481056	Mus musculus	1266	B6SJLSOD1-G93A	p120	female	L7CN85_E1	spinal cord
L7CN85_E2	PRJNA481056	Mus musculus	1266	B6SJLSOD1-G93A	p120	female	L7CN85_E2	spinal cord
L7CN84_C1	PRJNA481056	Mus musculus	1351	B6SJLSOD1-G93A	p100	male	L7CN84_C1	spinal cord
L7CN84_D1	PRJNA481056	Mus musculus	1351	B6SJLSOD1-G93A	p100	male	L7CN84_D1	spinal cord
L7CN84_E1	PRJNA481056	Mus musculus	1351	B6SJLSOD1-G93A	p100	male	L7CN84_E1	spinal cord
L7CN84_E2	PRJNA481056	Mus musculus	1351	B6SJLSOD1-G93A	p100	male	L7CN84_E2	spinal cord
L7CN83_C1	PRJNA481056	Mus musculus	1351	B6SJLSOD1-G93A	p100	male	L7CN83_C1	spinal cord
L7CN83_C2	PRJNA481056	Mus musculus	1351	B6SJLSOD1-G93A	p100	male	L7CN83_C2	spinal cord
L7CN83_D2	PRJNA481056	Mus musculus	1351	B6SJLSOD1-G93A	p100	male	L7CN83_D2	spinal cord
L7CN83_E1	PRJNA481056	Mus musculus	1351	B6SJLSOD1-G93A	p100	male	L7CN83_E1	spinal cord
L7CN83_E2	PRJNA481056	Mus musculus	1351	B6SJLSOD1-G93A	p100	male	L7CN83_E2	spinal cord
L7CN81_C1	PRJNA481056	Mus musculus	998	B6SJLSOD1-G93A	p100	female	L7CN81_C1	spinal cord
L7CN81_D2	PRJNA481056	Mus musculus	998	B6SJLSOD1-G93A	p100	female	L7CN81_D2	spinal cord
L7CN81_E1	PRJNA481056	Mus musculus	998	B6SJLSOD1-G93A	p100	female	L7CN81_E1	spinal cord
L7CN81_E2	PRJNA481056	Mus musculus	998	B6SJLSOD1-G93A	p100	female	L7CN81_E2	spinal cord
L7CN80_C1	PRJNA481056	Mus musculus	998	B6SJLSOD1-G93A	p100	female	L7CN80_C1	spinal cord
L7CN80_C2	PRJNA481056	Mus musculus	998	B6SJLSOD1-G93A	p100	female	L7CN80_C2	spinal cord
L7CN80_D1	PRJNA481056	Mus musculus	998	B6SJLSOD1-G93A	p100	female	L7CN80_D1	spinal cord
L7CN80_D2	PRJNA481056	Mus musculus	998	B6SJLSOD1-G93A	p100	female	L7CN80_D2	spinal cord
L7CN80_E1	PRJNA481056	Mus musculus	998	B6SJLSOD1-G93A	p100	female	L7CN80_E1	spinal cord
L7CN80_E2	PRJNA481056	Mus musculus	998	B6SJLSOD1-G93A	p100	female	L7CN80_E2	spinal cord
L7CN79_C1	PRJNA481056	Mus musculus	1083	B6SJLSOD1-WT	p100	male	L7CN79_C1	spinal cord
L7CN79_C2	PRJNA481056	Mus musculus	1083	B6SJLSOD1-WT	p100	male	L7CN79_C2	spinal cord
L7CN79_D1	PRJNA481056	Mus musculus	1083	B6SJLSOD1-WT	p100	male	L7CN79_D1	spinal cord
L7CN79_D2	PRJNA481056	Mus musculus	1083	B6SJLSOD1-WT	p100	male	L7CN79_D2	spinal cord
L7CN78_C1	PRJNA481056	Mus musculus	1083	B6SJLSOD1-WT	p100	male	L7CN78_C1	spinal cord
L7CN78_C2	PRJNA481056	Mus musculus	1083	B6SJLSOD1-WT	p100	male	L7CN78_C2	spinal cord
L7CN78_D1	PRJNA481056	Mus musculus	1083	B6SJLSOD1-WT	p100	male	L7CN78_D1	spinal cord
L7CN78_D2	PRJNA481056	Mus musculus	1083	B6SJLSOD1-WT	p100	male	L7CN78_D2	spinal cord
L7CN78_E1	PRJNA481056	Mus musculus	1083	B6SJLSOD1-WT	p100	male	L7CN78_E1	spinal cord
L7CN78_E2	PRJNA481056	Mus musculus	1083	B6SJLSOD1-WT	p100	male	L7CN78_E2	spinal cord
L7CN76_C2	PRJNA481056	Mus musculus	1473	B6SJLSOD1-G93A	p70	male	L7CN76_C2	spinal cord
L7CN75_C1	PRJNA481056	Mus musculus	1352	B6SJLSOD1-G93A	p100	male	L7CN75_C1	spinal cord
L7CN75_C2	PRJNA481056	Mus musculus	1352	B6SJLSOD1-G93A	p100	male	L7CN75_C2	spinal cord
L7CN75_E2	PRJNA481056	Mus musculus	1352	B6SJLSOD1-G93A	p100	male	L7CN75_E2	spinal cord
L7CN73_C1	PRJNA481056	Mus musculus	1305	B6SJLSOD1-WT	p100	female	L7CN73_C1	spinal cord
L7CN70_C1	PRJNA481056	Mus musculus	1542	B6SJLSOD1-G93A	p30	female	L7CN70_C1	spinal cord
L7CN70_C2	PRJNA481056	Mus musculus	1542	B6SJLSOD1-G93A	p30	female	L7CN70_C2	spinal cord
L7CN70_D1	PRJNA481056	Mus musculus	1542	B6SJLSOD1-G93A	p30	female	L7CN70_D1	spinal cord
L7CN70_D2	PRJNA481056	Mus musculus	1542	B6SJLSOD1-G93A	p30	female	L7CN70_D2	spinal cord
L7CN70_E1	PRJNA481056	Mus musculus	1542	B6SJLSOD1-G93A	p30	female	L7CN70_E1	spinal cord
L7CN70_E2	PRJNA481056	Mus musculus	1542	B6SJLSOD1-G93A	p30	female	L7CN70_E2	spinal cord
